Totales Territoriales;Comunidades y Ciudades Autónomas;Viajeros y pernoctaciones;Totales Territoriales;Comunidades y Ciudades Autónomas;Periodo;Total
Total Nacional;;Viajero;Total Nacional;01 Andalucía;2017M12;10,04
Total Nacional;;Viajero;Total Nacional;01 Andalucía;2017M11;9,26
Total Nacional;;Viajero;Total Nacional;01 Andalucía;2017M10;8,44
Total Nacional;;Viajero;Total Nacional;01 Andalucía;2017M09;8,25
Total Nacional;;Viajero;Total Nacional;01 Andalucía;2017M08;10,21
Total Nacional;;Viajero;Total Nacional;01 Andalucía;2017M07;9,48
Total Nacional;;Viajero;Total Nacional;01 Andalucía;2017M06;7,1
Total Nacional;;Viajero;Total Nacional;01 Andalucía;2017M05;6,29
Total Nacional;;Viajero;Total Nacional;01 Andalucía;2017M04;6,32
Total Nacional;;Viajero;Total Nacional;01 Andalucía;2017M03;7,32
Total Nacional;;Viajero;Total Nacional;01 Andalucía;2017M02;10,57
Total Nacional;;Viajero;Total Nacional;01 Andalucía;2017M01;8,25
Total Nacional;;Viajero;Total Nacional;01 Andalucía;2016M12;8,83
Total Nacional;;Viajero;Total Nacional;01 Andalucía;2016M11;8,81
Total Nacional;;Viajero;Total Nacional;01 Andalucía;2016M10;7,27
Total Nacional;;Viajero;Total Nacional;01 Andalucía;2016M09;7,62
Total Nacional;;Viajero;Total Nacional;01 Andalucía;2016M08;9,51
Total Nacional;;Viajero;Total Nacional;01 Andalucía;2016M07;8,79
Total Nacional;;Viajero;Total Nacional;01 Andalucía;2016M06;6,02
Total Nacional;;Viajero;Total Nacional;01 Andalucía;2016M05;6,11
Total Nacional;;Viajero;Total Nacional;01 Andalucía;2016M04;7,27
Total Nacional;;Viajero;Total Nacional;01 Andalucía;2016M03;7,04
Total Nacional;;Viajero;Total Nacional;01 Andalucía;2016M02;11,25
Total Nacional;;Viajero;Total Nacional;01 Andalucía;2016M01;7,87
Total Nacional;;Viajero;Total Nacional;01 Andalucía;2015M12;9,77
Total Nacional;;Viajero;Total Nacional;01 Andalucía;2015M11;8,29
Total Nacional;;Viajero;Total Nacional;01 Andalucía;2015M10;8,43
Total Nacional;;Viajero;Total Nacional;01 Andalucía;2015M09;7,64
Total Nacional;;Viajero;Total Nacional;01 Andalucía;2015M08;9,18
Total Nacional;;Viajero;Total Nacional;01 Andalucía;2015M07;8,8
Total Nacional;;Viajero;Total Nacional;01 Andalucía;2015M06;5,88
Total Nacional;;Viajero;Total Nacional;01 Andalucía;2015M05;5,71
Total Nacional;;Viajero;Total Nacional;01 Andalucía;2015M04;6,17
Total Nacional;;Viajero;Total Nacional;01 Andalucía;2015M03;6,21
Total Nacional;;Viajero;Total Nacional;01 Andalucía;2015M02;9,89
Total Nacional;;Viajero;Total Nacional;01 Andalucía;2015M01;8,03
Total Nacional;;Viajero;Total Nacional;01 Andalucía;2014M12;9,09
Total Nacional;;Viajero;Total Nacional;01 Andalucía;2014M11;7,5
Total Nacional;;Viajero;Total Nacional;01 Andalucía;2014M10;7,56
Total Nacional;;Viajero;Total Nacional;01 Andalucía;2014M09;7,14
Total Nacional;;Viajero;Total Nacional;01 Andalucía;2014M08;8,87
Total Nacional;;Viajero;Total Nacional;01 Andalucía;2014M07;8,53
Total Nacional;;Viajero;Total Nacional;01 Andalucía;2014M06;6,13
Total Nacional;;Viajero;Total Nacional;01 Andalucía;2014M05;5,15
Total Nacional;;Viajero;Total Nacional;01 Andalucía;2014M04;6
Total Nacional;;Viajero;Total Nacional;01 Andalucía;2014M03;7,91
Total Nacional;;Viajero;Total Nacional;01 Andalucía;2014M02;12,23
Total Nacional;;Viajero;Total Nacional;01 Andalucía;2014M01;8,36
Total Nacional;;Viajero;Total Nacional;01 Andalucía;2013M12;9,3
Total Nacional;;Viajero;Total Nacional;01 Andalucía;2013M11;8,03
Total Nacional;;Viajero;Total Nacional;01 Andalucía;2013M10;6,45
Total Nacional;;Viajero;Total Nacional;01 Andalucía;2013M09;7,23
Total Nacional;;Viajero;Total Nacional;01 Andalucía;2013M08;8,88
Total Nacional;;Viajero;Total Nacional;01 Andalucía;2013M07;8,13
Total Nacional;;Viajero;Total Nacional;01 Andalucía;2013M06;5,57
Total Nacional;;Viajero;Total Nacional;01 Andalucía;2013M05;5,56
Total Nacional;;Viajero;Total Nacional;01 Andalucía;2013M04;6,51
Total Nacional;;Viajero;Total Nacional;01 Andalucía;2013M03;5,94
Total Nacional;;Viajero;Total Nacional;01 Andalucía;2013M02;8,38
Total Nacional;;Viajero;Total Nacional;01 Andalucía;2013M01;7,83
Total Nacional;;Viajero;Total Nacional;01 Andalucía;2012M12;9,1
Total Nacional;;Viajero;Total Nacional;01 Andalucía;2012M11;6,93
Total Nacional;;Viajero;Total Nacional;01 Andalucía;2012M10;6,36
Total Nacional;;Viajero;Total Nacional;01 Andalucía;2012M09;6,07
Total Nacional;;Viajero;Total Nacional;01 Andalucía;2012M08;8,78
Total Nacional;;Viajero;Total Nacional;01 Andalucía;2012M07;7,32
Total Nacional;;Viajero;Total Nacional;01 Andalucía;2012M06;4,93
Total Nacional;;Viajero;Total Nacional;01 Andalucía;2012M05;4,46
Total Nacional;;Viajero;Total Nacional;01 Andalucía;2012M04;4,63
Total Nacional;;Viajero;Total Nacional;01 Andalucía;2012M03;5,46
Total Nacional;;Viajero;Total Nacional;01 Andalucía;2012M02;9,12
