Provincias de destino;Procedencia de los viajeros;Meses;Total
11 Cádiz;No residentes en España;Febrero;949
11 Cádiz;No residentes en España;Marzo;1.610
11 Cádiz;No residentes en España;Abril;2.347
11 Cádiz;No residentes en España;Mayo;3.191
11 Cádiz;No residentes en España;Junio;3.031
11 Cádiz;No residentes en España;Julio;1.840
11 Cádiz;No residentes en España;Agosto;2.846
11 Cádiz;No residentes en España;Septiembre;2.132
11 Cádiz;No residentes en España;Octubre;2.809
11 Cádiz;No residentes en España;Noviembre;1.413
11 Cádiz;No residentes en España;Diciembre;1.522
39 Cantabria;Total;Total;696.365
39 Cantabria;Total;Enero;10.606
39 Cantabria;Total;Febrero;13.768
39 Cantabria;Total;Marzo;43.298
39 Cantabria;Total;Abril;30.293
39 Cantabria;Total;Mayo;47.503
39 Cantabria;Total;Junio;56.636
39 Cantabria;Total;Julio;129.475
39 Cantabria;Total;Agosto;197.812
39 Cantabria;Total;Septiembre;75.794
39 Cantabria;Total;Octubre;37.237
39 Cantabria;Total;Noviembre;23.971
39 Cantabria;Total;Diciembre;29.971
39 Cantabria;Residentes en España;Total;576.301
39 Cantabria;Residentes en España;Enero;9.232
39 Cantabria;Residentes en España;Febrero;12.101
39 Cantabria;Residentes en España;Marzo;40.517
39 Cantabria;Residentes en España;Abril;24.478
39 Cantabria;Residentes en España;Mayo;36.385
39 Cantabria;Residentes en España;Junio;41.843
39 Cantabria;Residentes en España;Julio;105.542
39 Cantabria;Residentes en España;Agosto;171.582
39 Cantabria;Residentes en España;Septiembre;58.116
39 Cantabria;Residentes en España;Octubre;29.062
39 Cantabria;Residentes en España;Noviembre;20.779
39 Cantabria;Residentes en España;Diciembre;26.666
39 Cantabria;No residentes en España;Total;120.064
39 Cantabria;No residentes en España;Enero;1.374
39 Cantabria;No residentes en España;Febrero;1.667
39 Cantabria;No residentes en España;Marzo;2.781
39 Cantabria;No residentes en España;Abril;5.816
39 Cantabria;No residentes en España;Mayo;11.117
39 Cantabria;No residentes en España;Junio;14.793
39 Cantabria;No residentes en España;Julio;23.933
39 Cantabria;No residentes en España;Agosto;26.231
39 Cantabria;No residentes en España;Septiembre;17.678
39 Cantabria;No residentes en España;Octubre;8.175
39 Cantabria;No residentes en España;Noviembre;3.192
39 Cantabria;No residentes en España;Diciembre;3.306
12 Castellón/Castelló;Total;Total;125.992
12 Castellón/Castelló;Total;Enero;2.692
12 Castellón/Castelló;Total;Febrero;5.211
12 Castellón/Castelló;Total;Marzo;8.641
12 Castellón/Castelló;Total;Abril;6.416
12 Castellón/Castelló;Total;Mayo;8.953
12 Castellón/Castelló;Total;Junio;10.714
12 Castellón/Castelló;Total;Julio;18.183
12 Castellón/Castelló;Total;Agosto;28.108
12 Castellón/Castelló;Total;Septiembre;11.239
12 Castellón/Castelló;Total;Octubre;8.012
12 Castellón/Castelló;Total;Noviembre;6.274
12 Castellón/Castelló;Total;Diciembre;11.552
12 Castellón/Castelló;Residentes en España;Total;105.442
12 Castellón/Castelló;Residentes en España;Enero;2.616
12 Castellón/Castelló;Residentes en España;Febrero;4.947
12 Castellón/Castelló;Residentes en España;Marzo;8.517
12 Castellón/Castelló;Residentes en España;Abril;5.386
12 Castellón/Castelló;Residentes en España;Mayo;7.611
12 Castellón/Castelló;Residentes en España;Junio;9.341
12 Castellón/Castelló;Residentes en España;Julio;13.073
12 Castellón/Castelló;Residentes en España;Agosto;20.770
12 Castellón/Castelló;Residentes en España;Septiembre;9.420
12 Castellón/Castelló;Residentes en España;Octubre;6.599
12 Castellón/Castelló;Residentes en España;Noviembre;5.671
12 Castellón/Castelló;Residentes en España;Diciembre;11.491
12 Castellón/Castelló;No residentes en España;Total;20.550
12 Castellón/Castelló;No residentes en España;Enero;76
12 Castellón/Castelló;No residentes en España;Febrero;264
12 Castellón/Castelló;No residentes en España;Marzo;124
12 Castellón/Castelló;No residentes en España;Abril;1.030
12 Castellón/Castelló;No residentes en España;Mayo;1.341
12 Castellón/Castelló;No residentes en España;Junio;1.373
12 Castellón/Castelló;No residentes en España;Julio;5.110
12 Castellón/Castelló;No residentes en España;Agosto;7.338
12 Castellón/Castelló;No residentes en España;Septiembre;1.818
12 Castellón/Castelló;No residentes en España;Octubre;1.413
12 Castellón/Castelló;No residentes en España;Noviembre;602
12 Castellón/Castelló;No residentes en España;Diciembre;61
13 Ciudad Real;Total;Total;87.030
13 Ciudad Real;Total;Enero;4.745
13 Ciudad Real;Total;Febrero;5.255
13 Ciudad Real;Total;Marzo;9.109
13 Ciudad Real;Total;Abril;5.803
13 Ciudad Real;Total;Mayo;5.295
13 Ciudad Real;Total;Junio;8.675
13 Ciudad Real;Total;Julio;10.016
13 Ciudad Real;Total;Agosto;11.630
13 Ciudad Real;Total;Septiembre;5.373
13 Ciudad Real;Total;Octubre;5.617
13 Ciudad Real;Total;Noviembre;6.768
13 Ciudad Real;Total;Diciembre;8.745
13 Ciudad Real;Residentes en España;Total;84.610
13 Ciudad Real;Residentes en España;Enero;3.984
13 Ciudad Real;Residentes en España;Febrero;5.046
13 Ciudad Real;Residentes en España;Marzo;9.048
13 Ciudad Real;Residentes en España;Abril;5.451
13 Ciudad Real;Residentes en España;Mayo;5.082
13 Ciudad Real;Residentes en España;Junio;8.376
13 Ciudad Real;Residentes en España;Julio;9.969
13 Ciudad Real;Residentes en España;Agosto;11.506
13 Ciudad Real;Residentes en España;Septiembre;5.226
