Provincias de destino;Procedencia de los viajeros;Meses;Total
Ciudad Real;No Residentes;Febrero;78
Ciudad Real;No Residentes;Marzo;45
Ciudad Real;No Residentes;Abril;200
Ciudad Real;No Residentes;Mayo;99
Ciudad Real;No Residentes;Junio;171
Ciudad Real;No Residentes;Julio;36
Ciudad Real;No Residentes;Agosto;97
Ciudad Real;No Residentes;Septiembre;36
Ciudad Real;No Residentes;Octubre;57
Ciudad Real;No Residentes;Noviembre;18
Ciudad Real;No Residentes;Diciembre;80
Córdoba;Total;Total;34.612
Córdoba;Total;Enero;872
Córdoba;Total;Febrero;1.904
Córdoba;Total;Marzo;3.096
Córdoba;Total;Abril;2.622
Córdoba;Total;Mayo;3.369
Córdoba;Total;Junio;3.415
Córdoba;Total;Julio;3.813
Córdoba;Total;Agosto;4.335
Córdoba;Total;Septiembre;2.340
Córdoba;Total;Octubre;2.424
Córdoba;Total;Noviembre;2.748
Córdoba;Total;Diciembre;3.674
Córdoba;Residentes en España;Total;31.362
Córdoba;Residentes en España;Enero;855
Córdoba;Residentes en España;Febrero;1.798
Córdoba;Residentes en España;Marzo;2.815
Córdoba;Residentes en España;Abril;2.239
Córdoba;Residentes en España;Mayo;2.506
Córdoba;Residentes en España;Junio;3.173
Córdoba;Residentes en España;Julio;3.461
Córdoba;Residentes en España;Agosto;3.898
Córdoba;Residentes en España;Septiembre;2.211
Córdoba;Residentes en España;Octubre;2.267
Córdoba;Residentes en España;Noviembre;2.616
Córdoba;Residentes en España;Diciembre;3.525
Córdoba;No Residentes;Total;3.250
Córdoba;No Residentes;Enero;18
Córdoba;No Residentes;Febrero;107
Córdoba;No Residentes;Marzo;281
Córdoba;No Residentes;Abril;383
Córdoba;No Residentes;Mayo;863
Córdoba;No Residentes;Junio;242
Córdoba;No Residentes;Julio;352
Córdoba;No Residentes;Agosto;438
Córdoba;No Residentes;Septiembre;129
Córdoba;No Residentes;Octubre;157
Córdoba;No Residentes;Noviembre;131
Córdoba;No Residentes;Diciembre;149
Coruña, A;Total;Total;81.085
Coruña, A;Total;Enero;1.105
Coruña, A;Total;Febrero;1.466
Coruña, A;Total;Marzo;3.901
Coruña, A;Total;Abril;6.013
Coruña, A;Total;Mayo;10.735
Coruña, A;Total;Junio;9.835
Coruña, A;Total;Julio;10.129
Coruña, A;Total;Agosto;14.093
Coruña, A;Total;Septiembre;12.914
Coruña, A;Total;Octubre;6.728
Coruña, A;Total;Noviembre;2.431
Coruña, A;Total;Diciembre;1.735
Coruña, A;Residentes en España;Total;39.052
Coruña, A;Residentes en España;Enero;916
Coruña, A;Residentes en España;Febrero;1.136
Coruña, A;Residentes en España;Marzo;2.313
Coruña, A;Residentes en España;Abril;2.102
Coruña, A;Residentes en España;Mayo;3.485
Coruña, A;Residentes en España;Junio;4.117
Coruña, A;Residentes en España;Julio;5.829
Coruña, A;Residentes en España;Agosto;9.014
Coruña, A;Residentes en España;Septiembre;4.584
Coruña, A;Residentes en España;Octubre;2.319
Coruña, A;Residentes en España;Noviembre;1.837
Coruña, A;Residentes en España;Diciembre;1.402
Coruña, A;No Residentes;Total;42.033
Coruña, A;No Residentes;Enero;189
Coruña, A;No Residentes;Febrero;330
Coruña, A;No Residentes;Marzo;1.589
Coruña, A;No Residentes;Abril;3.911
Coruña, A;No Residentes;Mayo;7.251
Coruña, A;No Residentes;Junio;5.719
Coruña, A;No Residentes;Julio;4.300
Coruña, A;No Residentes;Agosto;5.079
Coruña, A;No Residentes;Septiembre;8.331
Coruña, A;No Residentes;Octubre;4.409
Coruña, A;No Residentes;Noviembre;593
Coruña, A;No Residentes;Diciembre;333
Cuenca;Total;Total;84.503
Cuenca;Total;Enero;2.514
Cuenca;Total;Febrero;3.992
Cuenca;Total;Marzo;6.935
Cuenca;Total;Abril;5.792
Cuenca;Total;Mayo;6.981
